Country Name,Year,Cost of a healthy diet
Latin America & Caribbean,2019,3.767
Latin America & Caribbean,2020,3.894
Latvia,2019,3.132
Latvia,2020,3.24
Lesotho,2019,4.01
Lesotho,2020,4.266
Liberia,2019,3.847
Liberia,2020,3.903
Lithuania,2019,3.039
Lithuania,2020,3.099
Low income,2019,3.117
Low income,2020,3.202
Lower middle income,2019,3.596
Lower middle income,2020,3.701
Luxembourg,2019,2.6
Luxembourg,2020,2.661
Madagascar,2019,3.154
Madagascar,2020,3.181
Malawi,2019,2.989
Malawi,2020,3.149
Malaysia,2019,3.412
Malaysia,2020,3.538
Maldives,2019,3.662
Maldives,2020,3.861
Mali,2019,2.96
Mali,2020,3.053
Malta,2019,3.698
Malta,2020,3.769
Mauritania,2019,3.6541
Mauritania,2020,3.692
Mauritius,2019,3.439
Mauritius,2020,3.604
Mexico,2019,3.075
Mexico,2020,3.293
Middle East & North Africa,2019,3.308
Middle East & North Africa,2020,3.37
Moldova,2019,2.687
Moldova,2020,2.814
Mongolia,2019,4.901
Mongolia,2020,5.103
Montenegro,2019,3.509
Montenegro,2020,3.494
Morocco,2019,2.759
Morocco,2020,2.797
Mozambique,2019,3.057
Mozambique,2020,3.228
Myanmar,2019,3.861
Myanmar,2020,4.186
Namibia,2019,3.378
Namibia,2020,3.52
Nepal,2019,4.222
Nepal,2020,4.362
Netherlands,2019,2.844
Netherlands,2020,2.991
New Zealand,2019,2.692
New Zealand,2020,2.723
Nicaragua,2019,3.279
Nicaragua,2020,3.335
Niger,2019,2.792
Niger,2020,2.859
Nigeria,2019,3.87
Nigeria,2020,4.093
North America,2019,3.325
North America,2020,3.336
North Macedonia,2019,3.336
North Macedonia,2020,3.427
Norway,2019,3.356
Norway,2020,3.471
Oman,2019,2.921
Oman,2020,3.021
Pakistan,2019,3.46
Pakistan,2020,3.685
Panama,2019,4.382
Panama,2020,4.476
Paraguay,2019,3.519
Paraguay,2020,3.543
Peru,2019,3.248
Peru,2020,3.285
Philippines,2019,4.054
Philippines,2020,4.108
Poland,2019,3.038
Poland,2020,3.17
Portugal,2019,2.579
Portugal,2020,2.656
Qatar,2019,2.484
Qatar,2020,2.577
Romania,2019,3.01
Romania,2020,3.191
Russian Federation,2019,3.264
Russian Federation,2020,3.42
Rwanda,2019,2.537
Rwanda,2020,2.698
Sao Tome and Principe,2019,3.463
Sao Tome and Principe,2020,3.551
Saudi Arabia,2019,3.888
Saudi Arabia,2020,4.148
Senegal,2019,2.278
Senegal,2020,2.33
Serbia,2019,4.174
Serbia,2020,4.246
Seychelles,2019,3.923
Seychelles,2020,3.801
Sierra Leone,2019,2.847
Sierra Leone,2020,2.893
Singapore,2019,2.936
Singapore,2020,3.064
Sint Maarten (Dutch part),2019,4.77
Sint Maarten (Dutch part),2020,5.36
Slovak Republic,2019,3.105
Slovak Republic,2020,3.15
Slovenia,2019,2.916
Slovenia,2020,3.07
South Africa,2019,4.198
South Africa,2020,4.298
South Asia,2019,3.661
South Asia,2020,3.842
Spain,2019,2.744
Spain,2020,2.838
Sri Lanka,2019,3.667
Sri Lanka,2020,3.923
St. Kitts and Nevis,2019,3.31
St. Kitts and Nevis,2020,3.405
St. Lucia,2019,3.517
St. Lucia,2020,3.594
St. Vincent and the Grenadines,2019,4.293
St. Vincent and the Grenadines,2020,4.454
Sub-Saharan Africa,2019,3.381
Sub-Saharan Africa,2020,3.474
Sudan,2019,4.306
Sudan,2020,4.308
Suriname,2019,5.336
Suriname,2020,5.739
Sweden,2019,3.154
Sweden,2020,3.339
Switzerland,2019,2.563
Switzerland,2020,2.659
Tajikistan,2019,3.433
Tajikistan,2020,3.48
Tanzania,2019,2.681
Tanzania,2020,2.736
Thailand,2019,4.181
Thailand,2020,4.321
Trinidad and Tobago,2019,4.083
Trinidad and Tobago,2020,4.224
Tunisia,2019,3.628
Tunisia,2020,3.639
Türkiye,2019,3.064
Türkiye,2020,3.029
Turks and Caicos Islands,2019,2.973
Turks and Caicos Islands,2020,3.095
Uganda,2019,2.678
Uganda,2020,2.658
United Arab Emirates,2019,2.902
United Arab Emirates,2020,3.111
United Kingdom,2019,1.881
United Kingdom,2020,1.912
United States,2019,3.268
United States,2020,3.383
Upper middle income,2019,3.656
Upper middle income,2020,3.762
Uruguay,2019,3.254
Uruguay,2020,3.414
Vietnam,2019,3.776
Vietnam,2020,4.072
West Bank and Gaza,2019,3.493
West Bank and Gaza,2020,3.356
World,2019,3.425
World,2020,3.537
Zambia,2019,3.245
Zambia,2020,3.3
,,
,,
,,
,,
,,
Long definition,,
"The cost of a healthy diet indicator is the cost of purchasing the least expensive locally available foods to meet requirements for energy and food-based dietary guidelines (FBDGs), in current PPP$/person/day, for a representative person within energy balance at 2330 kcal/day. Data available for 2017, 2018, 2019, 2020 and 2021. PPPs in 2018, and/or 2019, and/or 2020, and/or 2021 are imputed by the Food and Agriculture Organization of the United Nations for the given countries of Argentina, Aruba, Bermuda, British Virgin Islands, Cayman Islands, Curaçao, Democratic Republic of the Congo, Dominica, Djibouti, Equatorial Guinea, Eswatini, Gabon, Kazakhstan, Liberia, Malawi, Myanmar, Sao Tome and Principe, Senegal, Seychelles, Sint Maarten (Dutch part), Suriname, Tajikistan, United Arab Emirates and Zimbabwe.",,
